Вакансия,RUB/мес,USD/мес,RUB/год,USD/год
Software Engineer Reliability,3266667,40833.33,39200000,490000.00
Senior Software Engineer,2000000,25000.00,24000000,300000.00
Senior Security Engineer,2000000,25000.00,24000000,300000.00
Senior Platform Engineer,2000000,25000.00,24000000,300000.00
Senior Design Engineer,2000000,25000.00,24000000,300000.00
Security Engineer II Canada,1253333,15666.67,15040000,188000.00
Senior Staff Software Engineer AI Customer Operations,1226667,15333.33,14720000,184000.00
Senior Manager Strategic Partner Marketing,1160000,14500.00,13920000,174000.00
$2k Weekly Work From Home Assistant USA ONLY,1066667,13333.33,12800000,160000.00
Brand Designer,913333,11416.67,10960000,137000.00
Developer Advocate,800000,10000.00,9600000,120000.00
Financial Crimes Analyst I,640000,8000.00,7680000,96000.00
Go To Market Engineer,533333,6666.67,6400000,80000.00
Revenue Operations Manager,533333,6666.67,6400000,80000.00
Junior Crypto Analyst & Trader,466667,5833.33,5600000,70000.00
Crypto Trader,466667,5833.33,5600000,70000.00
Social Media Content Creator,200000,2500.00,2400000,30000.00
