Навык,Средний RUB/мес,Средний USD/мес,Вакансий
testing,3266667,40833.33,1
system,3266667,40833.33,1
reliability,3266667,40833.33,1
grafana,3266667,40833.33,1
code,3266667,40833.33,1
aws,2000000,25000.00,2
ai,2000000,25000.00,1
Terraform,2000000,25000.00,2
infosec,2000000,25000.00,1
node,2000000,25000.00,1
docker,2000000,25000.00,3
graphql,2000000,25000.00,1
full stack,2000000,25000.00,1
Pulumi,2000000,25000.00,1
typescript,2000000,25000.00,4
Figma,2000000,25000.00,1
react,2000000,25000.00,2
postgres,2000000,25000.00,3
software,1915556,23944.44,3
engineering,1915556,23944.44,3
cloud,1893333,23666.67,3
javascript,1850667,23133.33,5
digital nomad,1811111,22638.89,3
support,1720000,21500.00,3
security,1648333,20604.17,4
engineer,1570000,19625.00,4
design,1526667,19083.33,5
management,1495000,18687.50,4
api,1400000,17500.00,2
dev,1400000,17500.00,2
developer,1253333,15666.67,1
web,1253333,15666.67,1
test,1253333,15666.67,1
python,1253333,15666.67,1
healthcare,1253333,15666.67,1
operational,1253333,15666.67,1
bank,1226667,15333.33,1
operations,1226667,15333.33,1
senior,1193333,14916.67,2
technical,1160000,14500.00,1
executive,1160000,14500.00,1
admin,1066667,13333.33,1
customer support,1066667,13333.33,1
virtual assistant,1066667,13333.33,1
financial,1040000,13000.00,3
strategy,1036667,12958.33,2
growth,1036667,12958.33,2
saas,913333,11416.67,1
designer,913333,11416.67,1
manager,900000,11250.00,2
sales,841333,10516.67,5
marketing,818667,10233.33,5
education,720000,9000.00,3
banking,640000,8000.00,1
analyst,640000,8000.00,1
fintech,640000,8000.00,1
training,640000,8000.00,1
ops,533333,6666.67,1
bitcoin,466667,5833.33,2
web3,466667,5833.33,2
other,466667,5833.33,2
defi,466667,5833.33,2
blockchain,466667,5833.33,2
ethereum,466667,5833.33,1
crypto,466667,5833.33,2
finance,466667,5833.33,2
legal,466667,5833.33,1
full time,200000,2500.00,1
Content Creator,200000,2500.00,1
accountant,12667,158.33,1
